,label,feature,normalised_value,raw_value,dp,unit,color,plotting_id,lab
120,PkC_ss,mifr,-0.0476718229544255,54.81063932580726,/media/npyx/4TB_ssd1/optag_recordings/PkC/18-08-30_YC001/18-08-30_YC001_probe1,512,blue,5,hausser
121,PkC_ss,mifr,-0.9758226129087056,0.0,/media/npyx/4TB_ssd1/optag_recordings/PkC/18-08-30_YC001/18-08-30_YC001_probe1,668,gray,6,hausser
122,GoC,mifr,-0.5508532419570374,25.0959684222156,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,423,green,7,hausser
123,GoC,mifr,-0.7322745530237698,14.382388091821683,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,1146,green,8,hausser
124,GoC,mifr,-0.051615145626889,54.57777195222422,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,473,green,9,hausser
125,GoC,mifr,-0.4334263836370584,32.03044636287014,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,495,green,10,hausser
126,GoC,mifr,-0.0053931363468228,57.3073476924858,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,496,green,11,hausser
127,GoC,mifr,-0.1446179469979339,49.08562233880942,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,499,green,12,hausser
128,GoC,mifr,-0.5967358247831214,22.38643703374278,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,578,green,13,hausser
129,GoC,mifr,-0.2198628718214987,44.64213914594909,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,590,green,14,hausser
130,GoC,mifr,-0.859069022119027,6.894719073698347,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,617,green,15,hausser
131,GoC,mifr,-0.8385098420828345,8.108812531350406,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,622,green,16,hausser
132,PkC_ss,mifr,0.9521168032713088,113.85175030390856,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,1195,blue,17,hausser
133,PkC_ss,mifr,0.680025098829851,97.78375743346182,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,370,blue,18,hausser
134,PkC_ss,mifr,0.3490909985889313,78.24090964920352,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,1124,blue,19,hausser
135,PkC_ss,mifr,0.8023307199144548,105.0063438465136,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,1126,blue,20,hausser
136,PkC_ss,mifr,0.5747456282694432,91.56662638993524,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,783,blue,21,hausser
137,PkC_ss,mifr,-0.9758226129087056,0.0,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,826,gray,22,hausser
138,PkC_ss,mifr,0.8378224318545191,107.1022569710374,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,1197,blue,23,hausser
139,PkC_ss,mifr,0.3703490251079442,79.49627250287243,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,517,blue,24,hausser
140,PkC_ss,mifr,0.2344395435264389,71.47032924392387,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,1142,blue,25,hausser
141,PkC_ss,mifr,1.1780970644500122,127.1966967547194,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,1199,blue,26,hausser
142,PkC_cs,mifr,-0.7662541585876407,12.375770282353171,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,364,orange,27,hausser
143,PkC_cs,mifr,3.3465395549970056,255.25101781388813,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,424,orange,28,hausser
144,PkC_cs,mifr,-0.943671436540411,1.8986424952671968,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,369,orange,29,hausser
145,PkC_cs,mifr,-0.9291620124443872,2.755476125707254,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,402,orange,30,hausser
146,PkC_cs,mifr,-0.9758226129087056,0.0,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,723,gray,31,hausser
147,PkC_cs,mifr,2.02475821006524,177.1950797607576,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,380,orange,32,hausser
148,PkC_cs,mifr,3.349056113120392,255.3996296139709,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,1031,orange,33,hausser
149,PkC_cs,mifr,0.970169912449764,114.91785127219894,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,1109,orange,34,hausser
150,GoC,mifr,-0.7397848275477851,13.93887939406592,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe2,447,green,35,hausser
151,GoC,mifr,-0.6449596921130618,19.53864438224145,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe2,452,green,36,hausser
152,GoC,mifr,-0.7535131680200615,13.12817155832202,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe2,956,green,37,hausser
153,GoC,mifr,-0.742826039482916,13.759284901130124,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe2,464,green,38,hausser
154,GoC,mifr,-0.3711522913244418,35.70795528710107,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe2,468,green,39,hausser
